맛집명,경도,위도
주,126.989338084331,37.4932094113094
모터시티,126.989458885574,37.5339943612066
크래프트루,126.989452927966,37.5730676677996
레호이,126.990267095209,37.5432318452076
바토스,126.990170576357,37.5345949396719
찬양집,126.990277059844,37.5727926647887
평래옥,126.990388102778,37.5649105842504
왕타이,126.990719103053,37.5344734390401
브라이리퍼블릭,126.99078664949,37.5335466747814
원조녹두(녹두전 파전),126.99096221023,37.567559197413
미갈매기살,126.991071242787,37.5730059029369
사랑방칼국수,126.991337371016,37.5632731870055
안동장,126.991579946841,37.5661128743674
이태원양꼬치,126.99215113861,37.5333784663622
키에리,126.993181957985,37.5333695203629
도우룸,126.993345335831,37.493836355442
조선옥,126.993638013279,37.5667960482466
메종 엠오,126.994094057735,37.4893112657139
금왕돈까스,126.994385116336,37.5948315882709
계림,126.994503106903,37.5701701402045
산수갑산,126.995323167195,37.5654116565534
헬카페 로스터즈,126.997022615803,37.5303283499074
톰볼라 서래본점,126.997471806738,37.4988635925062
마애,126.99760965781,37.4989604535524
스시고,126.997890569389,37.4989300949905
라싸브어,126.998453333646,37.4970716878334
우래옥,126.998714470746,37.568218524634
버거그루72,126.999514176857,37.4984765462412
바다식당,126.999502271972,37.5371637401106
은주정,126.999757313391,37.5686824540468
부자피자 1호점,126.999802560451,37.537264562943
줄라이,126.999977383666,37.4947280892913
나리의집,127.000040053449,37.5369083075217
다운타우너,127.000392156343,37.5358791840377
오장동흥남집,127.000542051645,37.5643414545526
정돈,127.00109839499,37.5818105714383
만나손칼국수,127.001130152791,37.5631809670588
하단,127.005005368702,37.5900307699971
함흥에겨울냉면,127.005238108764,37.5601980166294
강가네멧돌빈대떡,127.005448194526,37.5325221098815
BLT 스테이크,127.008743829151,37.5704485321397
와글와글족발,127.010817294838,37.5723843287421
에베레스트레스토랑,127.012503651193,37.5725703978506
부첼리하우스,127.012855222915,37.5368464299047
미나미,127.018115234773,37.4933375277749
한성돈까스,127.019094304612,37.5147588693048
재구네닭발,127.019654021234,37.5644817267981
마산옥,127.020235035246,37.5172622982684
닭한마리감자탕,127.020501567636,37.517378842154
