자치구,위도,경도,대여소명
성동구,37.54958344,127.03024292,569.  응봉현대아파트 정류소
성동구,37.54829025,127.06246185,578.  성동세무서 부근
성동구,37.56520462,127.04184723,579.  마장역 4번출구
성동구,37.54317856,127.0490799,582.  경일중학교 앞
성동구,37.56797028,127.04689026,583.  청계천 생태교실 앞
성동구,37.53680801,127.05548859,585.  성수2가1동 공영주차장 인근
성동구,37.56594086,127.0453949,586.  마장동 주민센터
성동구,37.54541779,127.05264282,587.  유니베라 앞
성동구,37.54415894,127.05665588,589.  성수역3번출구
성동구,37.55830383,127.05805969,594.  중랑물재생센터(서울새활용플라자)
성동구,37.55453873,127.04377747,3544. 한양대역 3번 출구
성동구,37.55657959,127.04335785,3545. 한양대역 1번출구
성동구,37.56438065,127.02886963,3547. 상왕십리역 6번 출입구
성동구,37.54695892,127.04766846,3548. 뚝섬역 6번출구
성동구,37.55514145,127.07110596,3549. 건영아파트 앞
성동구,37.54404068,127.02320099,3550. 금호나들목
성동구,37.55979919,127.05632782,3551. 성동도로사업소
성동구,37.54195786,127.04277039,3552. 서울숲 공영주차장앞
성동구,37.565979,127.04311371,3553. 마장역3번출구
성동구,37.56681824,127.02915192,3555. 양지사거리(센트라스APT 115동앞)
성동구,37.55610657,127.01978302,3556. 신금호파크자이APT앞
성동구,37.55653,127.03913116,3557. 서울숲리버뷰자이APT105동 앞
성동구,37.56339645,127.04187012,3558. 마장동 금호어울림APT앞
성동구,37.54590988,127.04460144,3559. 성동구민종합체육센터 앞
성동구,37.56370926,127.05644989,3560. 성동구 견인차량 보관소 앞
성동구,37.55926895,127.03839874,3561. 행당동 삼부APT후문
성동구,37.56119156,127.04968262,3600. 사근빗물펌프장 건너편
성동구,37.54655838,127.04998779,4353.  코오롱디지털타워 3차앞
성동구,37.54824448,127.05957794,4360.  르노삼성자동차 성수사업소 앞
성동구,37.5540123,127.04154968,4362.  행당중학교 후문
성동구,37.55507278,127.01988983,4363.  신금호역 2번출구 앞
성동구,37.55862045,127.03435516,4367.  kt 행당빌딩 앞
성동구,37.55141449,127.04475403,4370. 성동교 사거리
성동구,37.54127502,127.04849243,4373.  서울숲 지식산업센터
성동구,37.54332352,127.05971527,4377.  우영테크노센터 앞
성동구,37.55140305,127.04636383,4381.  더스페이스타워 앞
성동구,37.54753494,127.06682587,4382.  페코텍글로벌허브빌딩 앞
성동구,37.54808044,127.06461334,4383.  푸조비즈타워 앞
성동구,37.56168747,127.06151581,4385.  용답동 우체국 주변
성동구,37.546978,127.05796814,4386.  현대자동차 동부서비스센터 주변
성동구,37.54555893,127.05336761,4387.  성수역 1번출구 주변
성동구,37.54255676,127.04423523,4389. 서울숲역3번출구
성동구,37.57045364,127.04694366,4390. 신답역 1번출구
성동구,37.56678009,127.05233002,4392. 답십리역 6번출구
성동구,37.55105209,127.05222321,4393. 상원삼거리 장안철교 아래
성동구,37.55433273,127.05822754,4394. 서울시립24시간게스트하우스
광진구,37.55758667,127.07969666,3500.  군자역2번출구
광진구,37.53950119,127.08300018,3501.  광진구청 앞
광진구,37.56565857,127.08429718,3502.  중곡역 1번출구
광진구,37.55048752,127.10895538,3503.  광진유진스웰
광진구,37.53805161,127.07659912,3504.  원일교회
광진구,37.5352211,127.06839752,3505.  신양초교앞 교차로
광진구,37.53701401,127.06109619,3506.  영동대교 북단
광진구,37.54595184,127.07800293,3507.  어린이회관
광진구,37.54822159,127.06787872,3508.  화양사거리
광진구,37.55341721,127.07319641,3509.  세종사이버대학교
광진구,37.56864929,127.08625031,3510.  중곡SK아파트앞
광진구,37.54370499,127.09324646,3516.  구의아리수정수센터앞
광진구,37.5625267,127.08227539,3517.  용마사거리
광진구,37.55686188,127.07913971,3518.  군자역 7번출구뒤
광진구,37.54251862,127.08408356,3520.  광진경찰서
광진구,37.54342651,127.09661865,3521.  현대홈타운 뒷길
광진구,37.54171753,127.08016968,3523.  건국대학교 과학관(이과대) 앞
광진구,37.55059814,127.11051178,3528.  광진정보도서관
광진구,37.54978943,127.07592773,3529.  어린이대공원정문
광진구,37.53913879,127.07061768,3533.  건대입구역 사거리(롯데백화점)
광진구,37.5401268,127.06949615,3534.  건대입구역 5번출구 뒤
광진구,37.53181076,127.08074188,3536.  중앙농협(자양동)
광진구,37.54848862,127.09375763,3537.  아차산 휴먼시아 아파트 옆
광진구,37.5450058,127.09003448,3542.  래미안 구의파크 스위트
광진구,37.54706955,127.07427216,500.  어린이대공원역 3번출구 앞
광진구,37.53730774,127.07035065,501.  광진구의회 앞
광진구,37.53186035,127.06719208,502.  뚝섬유원지역 1번출구 앞
광진구,37.53701019,127.08224487,505.  자양사거리 광진아크로텔 앞
광진구,37.53023529,127.08683014,515.  광양중학교 앞
광진구,37.54840469,127.06936646,516.  광진메디칼 앞
광진구,37.55979538,127.07420349,539.  군자교교차로
광진구,37.55603027,127.0786438,540.  군자역 7번출구 베스트샵 앞
광진구,37.53582382,127.09416199,542.  강변역 4번출구 뒤
광진구,37.53596878,127.09467316,543.  구의공원(테크노마트 앞)
광진구,37.54072952,127.10290527,544.  광남중학교
광진구,37.53247833,127.08509064,546.  잠실대교북단 교차로
광진구,37.5297699,127.07485962,548.  자양나들목
광진구,37.55122375,127.08970642,549.  아차산역 3번출구
광진구,37.54006195,127.09449768,551.  구의삼성쉐르빌 앞
광진구,37.53657913,127.0929718,552.  대림아크로리버 앞
광진구,37.57125473,127.07980347,553.  중곡 성원아파트 앞
광진구,37.53784943,127.09217072,555.  구의3동주민센터
광진구,37.55039597,127.07585907,571.  세종대학교 대양AI센터
